"id","submitdate","lastpage","startlanguage","seed","startdate","datestamp","CutOff","Gender","Age","Degree","University","Subject","GenAIUse","TypesOfAI[SQ001]","TypesOfAI[SQ002]","TypesOfAI[SQ003]","TypesOfAI[SQ004]","TypesOfAI[SQ005]","TypesOfAI[other]","AmoutUniAI","AIUniApplications[SQ001]","AIUniApplications[SQ002]","AIUniApplications[SQ003]","AIUniApplications[SQ004]","AIUniApplications[SQ005]","AIUniApplications[SQ006]","AIUniApplications[SQ007]","AIUniApplications[other]","AIFreq","AIOutcomes[SQ001]","AIOutcomes[SQ002]","AIOutcomes[SQ003]","AIOutcomes[SQ004]","AIOutcomes[SQ005]","AIOutcomes[SQ008]","AIOutcomes[SQ006]","AIOutcomes[SQ007]","RestrictionPolicy","RestrictionPolicy[other]","AIforStudAssess","EducatorsAIExp","EducatorsAIExp[other]","AIforMaterials","FearOfAI[SQ001]","FearOfAI[SQ002]","FearOfAI[SQ003]","FurtherAI[SQ001]","FurtherAI[SQ002]","FurtherAI[SQ003]","FurtherAI[SQ004]","ReaonsAgainstAI","Feedback"
"12","2024-01-16 17:51:17","6","de","1433347368","2024-01-16 17:38:05","2024-01-16 17:51:17","Ja (Yes)","Männlich (Male)","24","Master (Masters Degree)","Tübingen","Kogni","Ja (Yes)","Ja","Nein","Nein","Nein","Nein","","80","Nein","Nein","Ja","Nein","Ja","Ja","Ja","","Einige Male pro Monat (a couple times a month)","trifft eher zu (Agree)","trifft eher zu (Agree)","teils teils (Neutral)","trifft eher zu (Agree)","trifft voll zu (Strongly Agree)","teils teils (Neutral)","trifft eher zu (Agree)","trifft eher zu (Agree)","Moderater Umgang (KI in abgesprochenen Ausnahmefällen zulassen) / Moderate handling (allow AI in agreed exceptional cases)","","Nein (No)","Einige Dozenten in meinem Studiengang sollten KI-Kenntnisse haben (Some lecturers in my degree program should have knowledge of AI)","","Ja (Yes)","trifft eher zu (Agree)","teils teils (Neutral)","trifft eher zu (Agree)","trifft eher nicht zu","teils teils","trifft voll zu","trifft eher zu","","Ich bin David"
"15","","1","de","953373515","2024-01-16 19:27:58","2024-01-16 19:28:02","Ja (Yes)","","","","","","","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","",""
"17","2024-01-17 15:25:13","6","de","285464047","2024-01-17 15:20:51","2024-01-17 15:25:13","Ja (Yes)","Weiblich (Female)","23","Other","Tübingen","Medizin","Ja (Yes)","Ja","Nein","Nein","Ja","Nein","","40","Nein","Ja","Nein","Ja","Nein","Ja","Nein","","Einige Male pro Monat (a couple times a month)","teils teils (Neutral)","trifft eher nicht zu (Disagree)","trifft eher zu (Agree)","trifft eher nicht zu (Disagree)","trifft eher nicht zu (Disagree)","trifft voll zu (Strongly Agree)","trifft eher zu (Agree)","trifft voll zu (Strongly Agree)","Moderater Umgang (KI in abgesprochenen Ausnahmefällen zulassen) / Moderate handling (allow AI in agreed exceptional cases)","","Nein (No)","Alle Dozenten in meinem Studiengang sollten KI-Kenntnisse haben (All lecturers in my degree program should have knowledge of AI)","","Nein (No)","trifft voll zu (Strongly Agree)","trifft eher zu (Agree)","trifft eher nicht zu (Disagree)","trifft eher zu","trifft eher zu","trifft eher nicht zu","trifft eher zu","",""
"18","2024-01-17 15:44:36","6","de","613138393","2024-01-17 15:24:20","2024-01-17 15:44:36","Ja (Yes)","Männlich (Male)","24","Master (Masters Degree)","Tübingen","Theologie","Ja (Yes)","Nein","Ja","Nein","Nein","Nein","","10","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Testen, ob KI fachlich sinnvolle Antworten gibt ","Einige Male pro Monat (a couple times a month)","trifft eher nicht zu (Disagree)","trifft gar nicht zu (Strongly Disagree)","trifft gar nicht zu (Strongly Disagree)","trifft gar nicht zu (Strongly Disagree)","trifft gar nicht zu (Strongly Disagree)","teils teils (Neutral)","trifft gar nicht zu (Strongly Disagree)","trifft gar nicht zu (Strongly Disagree)","Restriktiver Umgang (KI zur Bearbeitung studentischer Aufgaben generell verbieten) / Restrictive handling (generally prohibit AI for processing student tasks)","","Nein (No)","Einige Dozenten in meinem Studiengang sollten KI-Kenntnisse haben (Some lecturers in my degree program should have knowledge of AI)","","Unentschlossen (Undecided)","trifft eher zu (Agree)","trifft voll zu (Strongly Agree)","trifft gar nicht zu (Strongly Disagree)","trifft eher zu","trifft eher nicht zu","trifft eher zu","trifft gar nicht zu.","",""
"19","2024-01-17 15:28:57","6","de","477459883","2024-01-17 15:24:48","2024-01-17 15:28:57","Ja (Yes)","Weiblich (Female)","28","Dr. / Phd.","University of Tübingen","Biophysics","Ja (Yes)","Ja","Nein","Nein","Nein","Nein","","10","Ja","Nein","Ja","Nein","Ja","Ja","Nein","","An einigen wenigen Wochentagen (On just a few days of the week)","teils teils (Neutral)","trifft eher zu (Agree)","trifft gar nicht zu (Strongly Disagree)","trifft gar nicht zu (Strongly Disagree)","trifft gar nicht zu (Strongly Disagree)","trifft voll zu (Strongly Agree)","teils teils (Neutral)","teils teils (Neutral)","Moderater Umgang (KI in abgesprochenen Ausnahmefällen zulassen) / Moderate handling (allow AI in agreed exceptional cases)","","Unentschlossen (Undecided)","Einige Dozenten in meinem Studiengang sollten KI-Kenntnisse haben (Some lecturers in my degree program should have knowledge of AI)","","Unentschlossen (Undecided)","trifft eher zu (Agree)","trifft eher zu (Agree)","trifft eher zu (Agree)","teils teils","teils teils","teils teils","trifft eher zu","",""
"21","2024-01-17 15:39:50","6","de","1106572727","2024-01-17 15:26:49","2024-01-17 15:39:50","Ja (Yes)","Weiblich (Female)","28","Master (Masters Degree)","University of Tuebingen","Politikwissenschaft","Ja (Yes)","Ja","Nein","Nein","Ja","Nein","","10","Nein","Ja","Ja","Nein","Ja","Ja","Ja","Sprachen lernen","Einige Male pro Monat (a couple times a month)","teils teils (Neutral)","trifft eher nicht zu (Disagree)","teils teils (Neutral)","teils teils (Neutral)","teils teils (Neutral)","trifft voll zu (Strongly Agree)","trifft eher zu (Agree)","trifft eher zu (Agree)","Moderater Umgang (KI in abgesprochenen Ausnahmefällen zulassen) / Moderate handling (allow AI in agreed exceptional cases)","","Unentschlossen (Undecided)","Dozenten in meinem Studiengang benötigen keine KI-Kenntnisse (Lecturers in my degree program do not need any AI knowledge)","","Unentschlossen (Undecided)","trifft eher zu (Agree)","trifft eher zu (Agree)","teils teils (Neutral)","teils teils","teils teils","teils teils","trifft voll zu","","Wie immer im Leben sind Probleme und Situationen komplexer als man will. Ich denke es wird keine gute Lösung geben, die entweder KI komplett erlaubt oder komplett verbietet. Es sollte darum gehen KI nützlich zu benutzen und Studierenden und natürlich auch den Lehrenden beizubringen KI angemessen und effektiv zu benutzen. Dafür braucht es natürlich einen Willen Veränderungen zu akzeptieren von allen Seiten besonders von Lehrenden und der Uni Bürokratie. "
"22","2024-01-17 15:52:43","6","de","56965718","2024-01-17 15:31:21","2024-01-17 15:52:43","Ja (Yes)","Männlich (Male)","22","Master (Masters Degree)","Universität Tübingen","Biochemistry","Ja (Yes)","Ja","Nein","Nein","Nein","Nein","","80","Ja","Nein","Ja","Nein","Nein","Nein","Nein","","An den meisten Wochentagen (On most days of the week)","trifft eher zu (Agree)","teils teils (Neutral)","trifft eher nicht zu (Disagree)","trifft gar nicht zu (Strongly Disagree)","trifft gar nicht zu (Strongly Disagree)","trifft eher nicht zu (Disagree)","trifft eher zu (Agree)","trifft eher zu (Agree)","Offener Umgang (KI generell überall zulassen) / Open approach (generally allow AI everywhere)","","Unentschlossen (Undecided)","Einige Dozenten in meinem Studiengang sollten KI-Kenntnisse haben (Some lecturers in my degree program should have knowledge of AI)","","Nein (No)","teils teils (Neutral)","teils teils (Neutral)","trifft eher nicht zu (Disagree)","trifft eher zu","teils teils","trifft eher nicht zu","trifft eher zu","","Studienmaterialien mit KI zu erstellen ist gar keine so schlechte Idee für diejenigen Dozenten die zwar stark in der Forschung aber, mit Verlaub, etwas weniger begabt in der Lehre sind. Ich verwende ChatGPT primär um mir einen Überblick über ein Forschungsfeld zu verschaffen und empfinde es als eine wesentliche Verbesserung gegenüber dem zusammensuchen von Inhalten über Google Ergebnisse. Durchaus bin ich in manchen Fällen skeptisch bzw. sorge mich, dass ChatGPT sich gerade mal wieder ""etwas ausdenkt"", weshalb der Abgleich mit Quellen aus peer-reviewed Papern für mich sehr wichtig ist."
"23","2024-01-17 15:42:04","6","de","1545531196","2024-01-17 15:32:35","2024-01-17 15:42:04","Ja (Yes)","Weiblich (Female)","24","Master (Masters Degree)","Tübingen","Kognitionswissenschaft","Nein (No)","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","Moderater Umgang (KI in abgesprochenen Ausnahmefällen zulassen) / Moderate handling (allow AI in agreed exceptional cases)","","Unentschlossen (Undecided)","Alle Dozenten in meinem Studiengang sollten KI-Kenntnisse haben (All lecturers in my degree program should have knowledge of AI)","","Ja (Yes)","trifft voll zu (Strongly Agree)","trifft eher zu (Agree)","trifft eher nicht zu (Disagree)","trifft eher zu","trifft eher nicht zu","trifft eher nicht zu","trifft eher zu","Hilft weder in Klausuren noch dabei gut belegte innovative Gedanken in Hausarbeiten zu haben.",""
"24","2024-01-17 15:38:27","6","de","751088988","2024-01-17 15:32:37","2024-01-17 15:38:27","Ja (Yes)","Weiblich (Female)","22","Bachelor (Bachelors Degree)","Tübingen","Bioinformatics","Ja (Yes)","Ja","Nein","Nein","Nein","Nein","","20","Nein","Nein","Nein","Ja","Ja","Ja","Ja","","Einmal im Monat (Once a month)","trifft eher zu (Agree)","teils teils (Neutral)","trifft gar nicht zu (Strongly Disagree)","trifft gar nicht zu (Strongly Disagree)","trifft gar nicht zu (Strongly Disagree)","trifft voll zu (Strongly Agree)","trifft eher nicht zu (Disagree)","trifft eher zu (Agree)","Offener Umgang (KI generell überall zulassen) / Open approach (generally allow AI everywhere)","","Nein (No)","Alle Dozenten in meinem Studiengang sollten KI-Kenntnisse haben (All lecturers in my degree program should have knowledge of AI)","","Unentschlossen (Undecided)","teils teils (Neutral)","teils teils (Neutral)","trifft eher nicht zu (Disagree)","trifft eher zu","teils teils","teils teils","trifft voll zu","",""
"25","2024-01-17 15:37:37","6","de","1202289170","2024-01-17 15:35:08","2024-01-17 15:37:37","Ja (Yes)","Männlich (Male)","24","Master (Masters Degree)","Tübingen ","Philosophie ","Nein (No)","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","Restriktiver Umgang (KI zur Bearbeitung studentischer Aufgaben generell verbieten) / Restrictive handling (generally prohibit AI for processing student tasks)","","Nein (No)","Einige Dozenten in meinem Studiengang sollten KI-Kenntnisse haben (Some lecturers in my degree program should have knowledge of AI)","","Ja (Yes)","trifft eher zu (Agree)","trifft voll zu (Strongly Agree)","trifft eher zu (Agree)","teils teils","trifft eher nicht zu","trifft voll zu","trifft eher zu","",""
